fifa_jaar,nationality,overall,potential
2015,Argentina,81.78260869565217,85.17391304347827
2015,Belgium,79.69565217391305,84.69565217391305
2015,Brazil,82.34782608695652,85.04347826086956
2015,England,81.04347826086956,84.65217391304348
2015,France,81.95652173913044,85.43478260869566
2015,Germany,83.95652173913044,86.65217391304348
2015,Italy,81.26086956521739,84.6086956521739
2015,Netherlands,79.69565217391305,84.30434782608695
2015,Portugal,80.0,83.0
2015,Spain,84.08695652173913,86.34782608695652
2016,Argentina,82.65217391304348,85.78260869565217
2016,Belgium,80.78260869565217,85.21739130434783
2016,Brazil,83.21739130434783,86.04347826086956
2016,England,81.8695652173913,85.65217391304348
2016,France,82.95652173913044,86.04347826086956
2016,Germany,84.1304347826087,87.34782608695652
2016,Italy,81.95652173913044,84.8695652173913
2016,Netherlands,80.56521739130434,85.21739130434783
2016,Portugal,80.91304347826087,85.52173913043478
2016,Spain,84.3913043478261,87.17391304347827
2017,Argentina,83.91304347826087,86.52173913043478
2017,Belgium,82.17391304347827,85.95652173913044
2017,Brazil,84.21739130434783,86.73913043478261
2017,England,82.78260869565217,86.65217391304348
2017,France,84.47826086956522,88.17391304347827
2017,Germany,85.30434782608695,88.1304347826087
2017,Italy,83.34782608695652,86.0
2017,Netherlands,80.52173913043478,84.52173913043478
2017,Portugal,82.78260869565217,86.8695652173913
2017,Spain,85.1304347826087,87.3913043478261
2018,Argentina,83.78260869565217,87.21739130434783
2018,Belgium,83.04347826086956,86.26086956521739
2018,Brazil,84.30434782608695,87.43478260869566
2018,England,82.43478260869566,86.65217391304348
2018,France,84.43478260869566,89.0
2018,Germany,84.82608695652173,88.08695652173913
2018,Italy,83.6086956521739,87.34782608695652
2018,Netherlands,80.6086956521739,84.82608695652173
2018,Portugal,82.43478260869566,86.65217391304348
2018,Spain,85.6086956521739,88.21739130434783
2019,Argentina,83.3913043478261,86.65217391304348
2019,Belgium,83.21739130434783,86.04347826086956
2019,Brazil,85.69565217391305,88.69565217391305
2019,England,82.3913043478261,86.95652173913044
2019,France,84.91304347826087,89.21739130434783
2019,Germany,84.95652173913044,87.95652173913044
2019,Italy,83.78260869565217,87.73913043478261
2019,Netherlands,80.6086956521739,84.65217391304348
2019,Portugal,82.3913043478261,86.3913043478261
2019,Spain,86.08695652173913,88.52173913043478
2020,Argentina,83.30434782608695,87.26086956521739
2020,Belgium,83.04347826086956,85.82608695652173
2020,Brazil,85.52173913043478,88.1304347826087
2020,England,82.8695652173913,87.69565217391305
2020,France,85.30434782608695,88.91304347826087
2020,Germany,84.95652173913044,87.73913043478261
2020,Italy,83.47826086956522,87.56521739130434
2020,Netherlands,81.82608695652173,85.95652173913044
2020,Portugal,83.17391304347827,86.8695652173913
2020,Spain,85.52173913043478,87.95652173913044
2021,Argentina,83.47826086956522,86.56521739130434
2021,Belgium,82.34782608695652,85.1304347826087
2021,Brazil,85.0,88.34782608695652
2021,England,83.65217391304348,88.04347826086956
2021,France,84.69565217391305,88.34782608695652
2021,Germany,84.65217391304348,87.6086956521739
2021,Italy,82.47826086956522,85.91304347826087
2021,Netherlands,81.6086956521739,86.3913043478261
2021,Portugal,82.8695652173913,87.17391304347827
2021,Spain,84.82608695652173,87.6086956521739
2022,Argentina,83.30434782608695,85.78260869565217
2022,Belgium,82.04347826086956,85.08695652173913
2022,Brazil,84.43478260869566,87.56521739130434
2022,England,84.43478260869566,88.1304347826087
2022,France,84.65217391304348,88.0
2022,Germany,84.82608695652173,87.1304347826087
2022,Italy,83.26086956521739,86.82608695652173
2022,Netherlands,81.82608695652173,85.78260869565217
2022,Portugal,83.21739130434783,86.8695652173913
2022,Spain,84.82608695652173,87.56521739130434
